time,value,MA,PRICE
1601683200000,44,10650,10573
1601769600000,44,10652,10547
1601856000000,44,10692,10671
1601942400000,44,10698,10785
1602028800000,44,10691,10606
1602115200000,44,10684,10668
1602201600000,44,10695,10889
1602288000000,45,10731,11063
1602374400000,46,10771,11287
1602460800000,46,10827,11378
1602547200000,48,10910,11543
1602633600000,49,10987,11426
1602720000000,50,11068,11436
1602806400000,51,11143,11496
1602892800000,52,11192,11319
1602979200000,53,11261,11366
1603065600000,54,11336,11496
1603152000000,54,11415,11752
1603238400000,55,11491,11909
1603324800000,57,11630,12806
1603411200000,59,11773,12951
1603497600000,60,11899,12928
1603584000000,62,12051,13106
1603670400000,64,12195,13021
1603756800000,65,12338,13061
1603843200000,66,12550,13655
1603929600000,67,12724,13283
1604016000000,69,12901,13442
1604102400000,71,13064,13537
1604188800000,72,13234,13779
1604275200000,71,13317,13720
1604361600000,71,13372,13558
1604448000000,71,13468,13990
1604534400000,71,13559,14102
1604620800000,72,13789,15553
1604707200000,75,14015,15548
1604793600000,76,14121,14818
1604880000000,78,14322,15496
1604966400000,79,14494,15335
1605052800000,81,14653,15279
1605139200000,82,14826,15687
1605225600000,84,15058,16265
1605312000000,85,15309,16327
1605398400000,86,15501,16096
1605484800000,88,15672,15985
1605571200000,88,15777,16714
1605657600000,88,15969,17652
1605744000000,89,16242,17830
1605830400000,89,16454,17820
1605916800000,89,16753,18629
1606003200000,89,17063,18690
1606089600000,90,17309,18391
1606176000000,90,17499,18361
1606262400000,90,17751,19092
